
=== Running k_max = 5 ===
  [kmax=60] Gen  850  error= 16.14%  triangles= 60
  [kmax=60] Gen  900  error= 15.89%  triangles= 59
  [kmax=60] Gen  950  error= 15.81%  triangles= 60
  [kmax=60] Gen  999  error= 16.28%  triangles= 60

=== Running k_max = 70 ===
  [kmax=70] Gen    0  error= 54.75%  triangles=  2
  [kmax=70] Gen   50  error= 24.24%  triangles= 70
  [kmax=70] Gen  100  error= 21.97%  triangles= 58
  [kmax=70] Gen  150  error= 18.65%  triangles= 70
  [kmax=70] Gen  200  error= 18.19%  triangles= 70
  [kmax=70] Gen  250  error= 17.93%  triangles= 64
  [kmax=70] Gen  300  error= 17.29%  triangles= 69
  [kmax=70] Gen  350  error= 16.65%  triangles= 70
  [kmax=70] Gen  400  error= 16.26%  triangles= 68
  [kmax=70] Gen  450  error= 16.18%  triangles= 60
  [kmax=70] Gen  500  error= 16.45%  triangles= 58
  [kmax=70] Gen  550  error= 15.68%  triangles= 70
  [kmax=70] Gen  600  error= 15.28%  triangles= 69
  [kmax=70] Gen  650  error= 15.08%  triangles= 70
  [kmax=70] Gen  700  error= 15.32%  triangles= 70
  [kmax=70] Gen  750  error= 15.10%  triangles= 70
  [kmax=70] Gen  800  error= 14.62%  triangles= 70
  [kmax=70] Gen  850  error= 14.95%  triangles= 70
  [kmax=70] Gen  900  error= 15.17%  triangles= 70
  [kmax=70] Gen  950  error= 14.40%  triangles= 70
  [kmax=70] Gen  999  error= 14.12%  triangles= 58

=== Running k_max = 80 ===
  [kmax=80] Gen    0  error= 57.60%  triangles=  1
  [kmax=80] Gen   50  error= 23.90%  triangles= 70
  [kmax=80] Gen  100  error= 20.48%  triangles= 80
  [kmax=80] Gen  150  error= 19.71%  triangles= 80
  [kmax=80] Gen  200  error= 18.71%  triangles= 74
  [kmax=80] Gen  250  error= 18.17%  triangles= 80
  [kmax=80] Gen  300  error= 17.22%  triangles= 67
  [kmax=80] Gen  350  error= 17.13%  triangles= 79
  [kmax=80] Gen  400  error= 17.27%  triangles= 76
  [kmax=80] Gen  450  error= 17.14%  triangles= 80
  [kmax=80] Gen  500  error= 16.10%  triangles= 80
  [kmax=80] Gen  550  error= 15.41%  triangles= 74
  [kmax=80] Gen  600  error= 15.03%  triangles= 80
  [kmax=80] Gen  650  error= 15.14%  triangles= 75
  [kmax=80] Gen  700  error= 15.19%  triangles= 80
  [kmax=80] Gen  750  error= 14.89%  triangles= 72
  [kmax=80] Gen  800  error= 14.95%  triangles= 78
  [kmax=80] Gen  850  error= 15.50%  triangles= 78
  [kmax=80] Gen  900  error= 15.61%  triangles= 75
  [kmax=80] Gen  950  error= 15.12%  triangles= 65
  [kmax=80] Gen  999  error= 15.36%  triangles= 76

=== Sweep complete ===
  kmax   error%   tris
     5    26.05      5
    10    20.34     10
    15    20.62     15
    20    19.40     19
    30    17.63     30
    40    14.66     35
    50    15.19     39
    60    16.28     60
    70    14.12     58
    80    15.36     76
